uuid,invoiceId,date,school,sorority,product,amount,productQty,unitPrice
38166ab8-0ace-4a3d-8277-e5345e293de7,1792,2023-10-25,Mizzou,Alpha Phi,Venice Tee,4812.5,275,17.5
cb24c210-335a-45b4-9be5-f4ea839db7d9,1797,2023-10-27,Chapman,Alpha Gamma Delta,Unisex Hoodie,1037.5,25,41.5
e7906c70-cfd1-48e5-afb0-037b882be7cc,1797,2023-10-27,Chapman,Alpha Gamma Delta,Catalina Flare Sweats,700.0,20,35
b8196d88-e7e3-4174-baa5-f634f8c4f03d,1797,2023-10-27,Chapman,Alpha Gamma Delta,Credit Card Fee,52.12,1,52.12
ad1b6b4b-59da-4380-8b6a-5fa7f9cbedc3,1798,2023-10-27,GWU,Alpha Epsilon Phi,Venice Tee,1940.0,97,20
90f0a485-b0d6-40bb-9e75-78bbd5e82c90,1796,2023-10-27,Rhode Island,Zeta Tau Alpha,Newport Tee,1400.0,70,20
7f23c2b5-6de5-4593-ab2d-10123b28353a,1795,2023-10-27,Sac State,Alpha Phi,Unisex Hoodie,2208.0,46,48
aa976dae-d91c-446b-b834-114f4671034e,1795,2023-10-27,Sac State,Alpha Phi,Credit Card Fee,66.24,1,66.24
f5904468-1162-4089-8b74-69d4c70b3138,1786,2023-10-25,JMU,Delta Delta Delta,Unisex Hoodie,945.0,21,45
5788ce15-6205-44f5-aaf4-0f18ced933bc,1786,2023-10-25,JMU,Delta Delta Delta,Catalina Flare Sweats,608.0,16,38
4a279dc6-e0e9-4fed-ac15-944b5a67dcf8,1777,2023-10-25,UCI,Alpha Phi,Trucker Hat,1155.0,70,16.5
0de01a00-e2ad-45dd-9e0d-1a5143e4c849,1777,2023-10-25,UCI,Alpha Phi,Unisex Tee,6408.0,356,18
c2d79e77-a7c6-4e1f-b756-0bc33fdada5a,1794,2023-10-25,Emory,Delta Delta Delta,Unisex Tee,3600.0,200,18
d7962ff4-a96e-4f0d-aa69-8f640feebf1d,1794,2023-10-25,Emory,Delta Delta Delta,Credit Card Fee,108.0,1,108
5eeb2c80-dc9d-498c-8f90-5a2dcfcda7d7,1793,2023-10-25,Chico State,Gamma Phi Beta,Unisex Tee,560.0,28,20
ccdc246a-4a20-45d7-b1c4-2b2d45e2c5a9,1791,2023-10-25,Chico,Alpha Delta Pi,Unisex Hoodie,3450.0,69,50
bfbd4412-c2da-4fa4-bf71-36dc1f3134f6,1790,2023-10-25,Montclair,Sigma Delta Tau,Unisex Hoodie,1505.0,43,35
fba0f9fa-d24f-47be-8e83-da0c96eaf0d4,1790,2023-10-25,Montclair,Sigma Delta Tau,Catalina Flare Sweats,1120.0,32,35
c4c022f3-307d-424d-802e-a13bca951b1c,1789,2023-10-25,Duquesne,Sigma Kappa,Unisex Tee,1080.0,72,15
94b6463a-7096-4941-b5b8-ba7c6cad7725,1789,2023-10-25,Duquesne,Sigma Kappa,Unisex Tee,480.0,32,15
ed0f2b60-7708-44fc-8252-1a4dd1e761f5,1788,2023-10-25,FAU,Theta Phi Alpha,Independent Shorts,364.0,13,28
998d5d72-3ed7-48db-b687-548456111ff6,1788,2023-10-25,FAU,Theta Phi Alpha,Unisex Tee,676.5,41,16.5
e2c2f158-a7e5-4b79-8380-09dc18d79df6,1787,2023-10-25,UCSD,Alpha Chi Omega,Malibu Tank,1472.0,92,16
11694925-ee3c-4450-86f3-7fb70f24c706,1785,2023-10-25,UCI,Delta Delta Delta,Lace Tank,2200.0,88,25
337fd42e-f39d-4d54-abb2-73ff0adf4c89,1784,2023-10-25,SIUE,Alpha Phi,Unisex Hoodie,1400.0,28,50
b4e22fcf-3272-4266-8ab4-124fd500d3c7,1783,2023-10-25,Syracuse,Alpha Xi Delta,Lace Tank,3675.0,147,25
387d3139-d279-4a27-aeb6-3f2b4647eeda,1783,2023-10-25,Syracuse,Alpha Xi Delta,San Clemente Shorts,1650.0,55,30
355f727b-4d90-4c8b-9662-40143e0d6388,1782,2023-10-25,West Virginia,Alpha Phi,Unisex Tee,1475.0,59,25
27a4ef81-2a23-4999-a0b7-76cd5e6a0536,1781,2023-10-25,Mizzou,Alpha Phi,Comfort Colors 1717,5232.0,218,24
d507193d-52d3-4d41-9195-a27074f94919,1781,2023-10-25,Mizzou,Alpha Phi,Campus Marketing Intern Discount,-100.0,1,-100
42847c60-314d-465d-b391-92e5011b1608,1780,2023-10-25,Berkeley,Alpha Chi Omega,Hermosa Tank,3125.0,125,25
213f3baa-836c-4801-8e02-f8eed0d0f1c6,1779,2023-10-25,GVSU,Delta Zeta,San Clemente Shorts,420.0,14,30
17b12084-b377-4091-b206-3a2b25498909,1779,2023-10-25,GVSU,Delta Zeta,Unisex Crewneck,1240.0,31,40
be0ad9fa-a484-41ef-947a-bde6fe64b06a,1779,2023-10-25,GVSU,Delta Zeta,Credit Card Fee,49.8,1,49.8
159ef7b4-e18f-4eb8-96bd-8ae60fd804f2,1778,2023-10-25,SLO,Kappa Alpha Theta,Venice Tee,620.0,31,20
4ecc2ffe-5618-469f-90a7-58ed73ca605a,1778,2023-10-25,SLO,Kappa Alpha Theta,Unisex Hoodie,480.0,12,40
ee263cb2-a30c-48df-86aa-c673cb1420ae,1776,2023-10-25,Syracuse,Alpha Phi,Unisex Hoodie,6336.0,176,36
2590f73f-0b04-4054-a9e8-7314cff34a85,1763,2023-10-22,Charleston,Chi Omega,Venice Tee,1020.0,51,20
fb098645-b602-4a67-87f8-2ad4962a8dc3,1763,2023-10-22,Charleston,Chi Omega,San Clemente Shorts,1428.0,51,28
8513a899-3a36-4d9c-ac8e-ebd1d7455808,1763,2023-10-22,Charleston,Chi Omega,Credit Card Fee,73.44,1,73.44
5f1d1d9e-dd5f-483c-94e5-06b575b47288,1652,2023-09-26,GCSU,Delta Zeta,Unisex Hoodie,2520.0,126,20
0d29e0a4-2c7d-4ce4-8501-b50ad85424a1,1652,2023-09-26,GCSU,Delta Zeta,Catalina Flare Sweats,2520.0,126,20
47c078ca-a8d5-4e93-92c2-d96013caf9b3,1652,2023-09-26,GCSU,Delta Zeta,Discount,-396.0,1,-396
48a052a3-a485-41e7-8ab0-126d83111d85,1765,2023-10-22,Oregon,Delta Sigma Phi,Oceanside Sweats,1085.0,31,35
93c99ff9-209a-4693-9144-3c6db9de71a3,1765,2023-10-22,Oregon,Delta Sigma Phi,Oceanside Sweats,455.0,13,35
e752cc21-305a-43c2-b0ef-00b2d0fcb587,1765,2023-10-22,Oregon,Delta Sigma Phi,Campus Marketing Intern Discount,-100.0,1,-100
37c11e6b-cc55-4b4d-b9fe-57c6afcc1ffc,1765,2023-10-22,Oregon,Delta Sigma Phi,Credit Card Fee,43.2,1,43.2
4b559dd5-e072-4703-8607-8f018086e6b1,1761,2023-10-22,Emory,Delta Delta Delta,Unisex Hoodie,3520.0,110,32
5ebaabc9-f643-4e68-88da-acce8abf0273,1761,2023-10-22,Emory,Delta Delta Delta,Credit Card Fee,105.6,1,105.6
